Name,mean_return,volatility,cluster
HOLX,0.0005891789432803032,0.015227392253224926,0
HON,0.0006610208919922403,0.010467434387257616,1
HP,0.00029630437457245,0.02279477727891325,2
HPE,0.00022427274125254372,0.025054813146978303,2
HPQ,0.0011006368552184684,0.018758258973100538,0
HRB,0.00021041847123413887,0.01828648098389988,0
HRL,0.0005562161920909034,0.012377410782503507,1
HRS,0.0010222605833742388,0.012515636438180848,1
HSIC,0.0004614051060209183,0.011721534233237026,1
HST,0.00022594747901463663,0.014808944785896219,1
HSY,0.00023674931630501069,0.01181723615425916,1
HUM,0.0010744903535718439,0.016602705771627355,0
IBM,-0.00014429478104175585,0.011875555858376128,1
ICE,0.0007806498425882373,0.013472375314417213,1
IDXX,0.0011814683007841844,0.015728611775685727,0
IFF,0.0006007538010014187,0.012144884849080504,1
ILMN,0.0014649009599482065,0.024080682646417353,2
INCY,0.0016673829788466114,0.029776610196202778,2
INFO,0.0006604956793054458,0.013228929424091356,1
INTC,0.000706364977149298,0.013946946171029003,1
INTU,0.0008521798892163906,0.013024292048974512,1
IP,0.00036591463817428984,0.014372171843235734,1
IPG,0.0005469009536333325,0.014174075690323237,1
IQV,0.0007991037732968427,0.013473372720346636,1
IR,0.0005378607175417942,0.014781026299141494,1
IRM,0.00010917492152446802,0.01642481336810093,0
ISRG,0.0007340795902454947,0.017614855770370755,0
IT,0.0007883034931362773,0.01353560865475166,1
ITW,0.0008141801214032298,0.010252585346853077,1
IVZ,0.00028931693286967904,0.015938923954903355,0
JBHT,0.0005004400054526792,0.012257943664171126,1
JCI,0.00020974548304902854,0.013178048602729675,1
JEC,0.00036686672664355396,0.015167718661709212,0
JNJ,0.0004814345702266774,0.009003872473447543,1
JNPR,0.0002840237240080928,0.018034679768216818,0
JPM,0.0007519150327228285,0.012844492561729393,1
JWN,7.774180713747186e-05,0.018720166076940735,0
K,0.00012555761446657774,0.01068928141442756,1
KEY,0.0007489697775771776,0.01542564675568929,0
KHC,9.468988503760181e-05,0.012887071719926885,1
KIM,-0.0002308362197308332,0.012866910449733258,1
KLAC,0.0006167390841384249,0.016797387553103785,0
KMB,0.00021991066385030768,0.010134942638671988,1
KMI,-0.0004357459369950851,0.019104783272173857,0
KMX,0.0005602546795558683,0.01821389469327927,0
KO,0.00015018783206478944,0.008884861189598083,1
KORS,0.00038544967094831405,0.023264523486866882,2
KR,0.0006932353119208286,0.015514169948433697,0
KSS,0.00046832176925431,0.02074741825142168,0
KSU,0.0002378996523681106,0.016825295783498232,0
L,0.00011614724903228475,0.009653694821329377,1
LB,0.00023423572526768847,0.018771472751255347,0
LEG,0.0004194099757244207,0.012360635202405929,1
LEN,0.0005064292645931274,0.017655738478561188,0
LH,0.000576686955551216,0.012169071740546383,1
LKQ,0.0005481274982658036,0.01587079532969853,0
LLL,0.0008608095395413815,0.012523038843320991,1
LLY,0.0003690251640791811,0.01307215189384403,1
LMT,0.001138355772461515,0.01010139820228671,1
LNC,0.0009372599095325271,0.017675511444962703,0
LNT,0.0008336493860851521,0.033373094056441455,2
