Name,mean_return,volatility,cluster
FOXA,0.0004975282713397277,0.03958287922254917,1
FRT,0.00023234432045750325,0.027892201420658846,1
FTI,0.003060079415486175,0.08170536554020817,0
FTV,0.001556551735056711,0.040479274657548026,1
GD,0.0009389258781384399,0.0469021935358729,1
GE,0.0006234759759482019,0.04109944537185674,1
GGP,0.000657794549279675,0.03954417209710563,1
GILD,0.0024768390677099034,0.07212189124984995,0
GIS,0.00020499505662489986,0.028978559022661894,1
GLW,0.0015223306213868306,0.059280103111829754,1
GM,0.0011249482342332747,0.04546178179859913,1
GOOG,0.001130926514913895,0.04426345993709199,1
GOOGL,0.001201682401031653,0.054479703492701474,1
GPC,0.0005672838747776797,0.03614769239123038,1
GPN,0.0019848289045526117,0.07543539959698432,0
GPS,0.0022781147769187853,0.06032137921608638,1
GRMN,0.0012231387486648924,0.04830062795419815,1
GS,0.0010062433011940443,0.0411745312163915,1
GT,0.002039600460382232,0.0716396873684622,0
GWW,0.0009449214533388679,0.04235176282313845,1
HAL,0.0023996138707375846,0.06981106825405099,0
HAS,0.0006703102845120249,0.045477113585534835,1
HBAN,0.0011550366140547661,0.05024232032211546,1
HBI,0.0017133088030037767,0.061025316769120264,1
HCA,0.0021373301272888984,0.07236304434295836,0
HCN,0.0004947482140053344,0.03370503866320478,1
HCP,0.0014082845570853896,0.05119142114578801,1
HD,0.0008883814119113459,0.04860247076757174,1
HES,0.001945500043403167,0.059524204173900426,1
HIG,0.0009989490682839877,0.050444870647963234,1
HII,0.0020031815890499986,0.07204183804355331,0
HLT,0.0008168542426499847,0.045678089500333044,1
HOG,0.001209848183119481,0.04584327092656655,1
HOLX,0.0008216548475673838,0.04759780751061252,1
HON,0.000638616548852852,0.0412051024550444,1
HP,0.0031507836759699886,0.08544083190521985,0
HPE,0.004079892516514413,0.08837875245685568,0
HPQ,0.00265991791882108,0.07244378449983827,0
HRB,0.0020878695301220405,0.06245164402976417,0
HRL,0.0005716502939065361,0.04028504033079217,1
HRS,0.0013369345801032763,0.05815015746715893,1
HSIC,0.00039400250284702244,0.03886091202129413,1
HST,0.0009085180988022304,0.037588301468707494,1
HSY,0.00036387203964024405,0.028066193396240058,1
HUM,0.0020658132504647727,0.07222855920396937,0
IBM,0.0007697969526276021,0.03519047450530735,1
ICE,0.0004660484056891623,0.037516183825078334,1
IDXX,0.0022557698412762435,0.07564807140466373,0
IFF,0.0005762758537313311,0.04110112355296757,1
ILMN,0.003225961764520666,0.08115166664208028,0
INCY,0.008563216158232616,0.16825299522866108,2
INFO,0.000537667222742695,0.03975650354125298,1
INTC,0.0011048140198099763,0.047656284200888355,1
INTU,0.0007534387907866168,0.04483247562821355,1
IP,0.0005652021164433247,0.03219011701200796,1
IPG,0.0006760511936595027,0.033639954385191496,1
IQV,0.0010692579411015124,0.051645087387292066,1
IR,0.0009444048921067845,0.04543660914636939,1
IRM,0.0011084332414897596,0.044300513711310455,1
ISRG,0.0019529020928186873,0.06652971671201577,0
IT,0.0017178480230363707,0.07234643262241867,0
ITW,0.001661525693345216,0.05848809870659351,1
IVZ,0.0011934939585990275,0.044473448841560695,1
JBHT,0.0003813345132208857,0.030737049746832987,1
JCI,0.0006319001142763347,0.03640845344947198,1
JEC,0.0008893390096604291,0.04409695375128391,1
JNJ,0.00042470348042062544,0.03317188308531,1
JNPR,0.0009006501404022702,0.04590442003720251,1
JPM,0.0009850338248561612,0.04672663775288421,1
JWN,0.0024194837772163608,0.0636360167661379,0
K,0.0003514320616176612,0.02760309054344565,1
KEY,0.0019979354822098356,0.07049993633437095,0
KHC,0.000556017756436402,0.02947529645410499,1
KIM,0.0007309854996183306,0.05088027966392728,1
KLAC,0.0014635062632355341,0.0547717828271738,1
KMB,0.000301275343247331,0.025768782116190006,1
KMI,0.0020514401142137035,0.06764209614467569,0
KMX,0.0017590671425824777,0.05698804981916747,1
KO,0.00021029429042767247,0.020951848282812876,1
KORS,0.002867061777826909,0.08260601333722185,0
KR,0.002570199808668089,0.07930121386107773,0
KSS,0.0012528756774134973,0.050064383271540884,1
KSU,0.000548444852582244,0.03652433046733524,1
L,0.0003450548454033383,0.02323069858637002,1
LB,0.002389880289607746,0.07487315884644354,0
LEG,0.0002429543861437239,0.03174169711572623,1
LEN,0.0013449834818239355,0.05039171793869665,1
LH,0.0013433777067373195,0.042275296937010105,1
LKQ,0.001000244621355486,0.04616589375723689,1
LLL,0.0018224466015604728,0.05366190571129116,1
LLY,0.0007790784875217721,0.041172503600424355,1
LMT,0.0041879882350533346,0.1101273186499796,0
LNC,0.001954656898615924,0.07169856056641355,0
LNT,0.0008383033013920391,0.04385994238960766,1
LOW,0.001174556995928031,0.05017676630913946,1
LRCX,0.003478647765659374,0.10404644468099064,0
LUK,0.0005207978859544286,0.03634841032586088,1
LUV,0.0018461546278144931,0.06942450694293968,0
LYB,0.0011663732505157874,0.05492658334135317,1
M,0.00435806589488869,0.10334315366358576,0
MA,0.0013948557115350927,0.07505066894028836,0
MAA,0.0004069583025242288,0.031131539714755657,1
MAC,0.0007606386159853877,0.042850165289447184,1
MAR,0.004249044368647241,0.1037636016068675,0
MAS,0.0014497727875443058,0.059487900232168656,1
